Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
1994,YR1994,Romania,ROU,22730211,11446.2994209836,115160
1994,YR1994,San Marino,SMR,24535,..,..
1994,YR1994,Slovak Republic,SVK,5346331,12525.7880943071,41700
1994,YR1994,Slovenia,SVN,1989443,..,13610
1994,YR1994,Spain,ESP,39549108,28372.0314344106,228450
1994,YR1994,Sweden,SWE,8780745,33110.8255761839,58490
1994,YR1994,Switzerland,CHE,6993795,54809.335298076,42590
1994,YR1994,United Kingdom,GBR,57865745,32973.0595774302,535180
1995,YR1995,Andorra,AND,62928,..,430
1995,YR1995,Austria,AUT,7948278,40425.3937190819,61180
1995,YR1995,Belgium,BEL,10136811,37784.149887365,114570
1995,YR1995,Croatia,HRV,4620030,15070.8552651381,15460
1995,YR1995,Czechia,CZE,10327253,22758.5968118404,125180
1995,YR1995,Denmark,DNK,5233373,43015.6775097607,60000
1995,YR1995,Estonia,EST,1436634,12730.7174142214,16260
1995,YR1995,Finland,FIN,5107790,31499.80577579,56090
1995,YR1995,France,FRA,59543659,35176.6221101421,352240
1995,YR1995,Germany,DEU,81678051,39366.0886366488,874660
1995,YR1995,Greece,GRC,10562153,24920.72893517,82830
1995,YR1995,Greenland,GRL,55800,..,..
1995,YR1995,Hungary,HUN,10328965,16615.1625534699,57430
1995,YR1995,Iceland,ISL,267468,33666.1804992579,2000
1995,YR1995,Ireland,IRL,3608841,32614.9661080609,33450
1995,YR1995,Italy,ITA,56844303,38947.2013118497,416420
1995,YR1995,Latvia,LVA,2485056,9599.14600512054,9000
1995,YR1995,Liechtenstein,LIE,30890,..,200
1995,YR1995,Lithuania,LTU,3629102,10640.3600314613,13740
1995,YR1995,Luxembourg,LUX,408625,80379.1276289992,8660
1995,YR1995,Monaco,MCO,31482,..,..
1995,YR1995,Netherlands,NLD,15459006,39498.1368221301,164110
1995,YR1995,Norway,NOR,4359184,49260.9695215676,34390
1995,YR1995,Poland,POL,38594998,12398.5241269417,340000
1995,YR1995,Portugal,PRT,10026176,25523.7060223176,50690
1995,YR1995,Romania,ROU,22684270,12184.4322862025,120880
1995,YR1995,San Marino,SMR,24886,..,..
1995,YR1995,Slovak Republic,SVK,5361999,13218.9921162575,42370
1995,YR1995,Slovenia,SVN,1989872,21480.327975747,14470
1995,YR1995,Spain,ESP,39724050,29025.9945784136,240570
1995,YR1995,Sweden,SWE,8826939,34233.7027776288,58230
1995,YR1995,Switzerland,CHE,7040687,54706.1015073424,43440
1995,YR1995,United Kingdom,GBR,58019030,33718.5090841434,526810
1996,YR1996,Andorra,AND,64147,..,450
1996,YR1996,Austria,AUT,7959017,41319.3749974645,64900
1996,YR1996,Belgium,BEL,10156637,38208.7186734905,119450
1996,YR1996,Croatia,HRV,4557097,16234.405553222,15260
1996,YR1996,Czechia,CZE,10315241,23756.9783859253,126740
1996,YR1996,Denmark,DNK,5263074,44013.3855851544,73340
1996,YR1996,Estonia,EST,1415594,13558.5685292989,17200
1996,YR1996,Finland,FIN,5124573,32548.0151553704,62570
1996,YR1996,France,FRA,59756533,35546.5832844174,367900
1996,YR1996,Germany,DEU,81914831,39568.6024740843,904340
1996,YR1996,Greece,GRC,10608800,25521.2793744832,82750
1996,YR1996,Greenland,GRL,55900,..,..
1996,YR1996,Hungary,HUN,10311238,16657.4438558668,58450
